fecha,y,exog_1,exog_2
1991-07-01,0.429795,0.9587918999999999,1.4515544
1991-08-01,0.400906,0.9587918999999999,1.4515544
1991-09-01,0.432159,0.9587918999999999,1.4515544
1991-10-01,0.492543,0.9587918999999999,1.4515544
1991-11-01,0.502369,0.9587918999999999,1.4515544
1991-12-01,0.602652,0.9587918999999999,1.4861258
1992-01-01,0.660119,0.9587918999999999,1.5379684
1992-02-01,0.33622,0.9587918999999999,1.5187806
1992-03-01,0.351348,0.9587918999999999,1.4905416
1992-04-01,0.379808,0.9587918999999999,1.4660294
1992-05-01,0.361801,0.9519925,1.4178592
1992-06-01,0.410534,0.9529553,1.3679421999999999
1992-07-01,0.48338867,0.958078267,1.397375934
1992-08-01,0.47546342,0.956370309,1.422199018
1992-09-01,0.53476104,0.959609513,1.453189626
1992-10-01,0.56860613,0.9562049260000001,1.494550652
1992-11-01,0.59522329,0.949715355,1.53148851
1992-12-01,0.77125778,0.993219133,1.5890623320000001
1993-01-01,0.7515028,1.033234613,1.644270208
1993-02-01,0.38755434,1.034009247,1.614828868
1993-03-01,0.42728322,1.040557469,1.586564286
1993-04-01,0.41389018,1.040893087,1.550297664
1993-05-01,0.42885882,1.035440102,1.481817872
1993-06-01,0.47012642,1.034906402,1.425542596
1993-07-01,0.50920969,1.032351267,1.449873666
1993-08-01,0.558443,1.031334954,1.476105622
1993-09-01,0.60151406,1.031964031,1.513630398
1993-10-01,0.6329471,1.018132963,1.554448054
1993-11-01,0.69960539,1.012943222,1.600343848
1993-12-01,0.96308051,1.0704958390000001,1.691118012
1994-01-01,0.81932534,1.109700051,1.7432944799999999
1994-02-01,0.4376698,1.112078013,1.710525628
1994-03-01,0.50612127,1.119804258,1.685160462
1994-04-01,0.47049117,1.119840733,1.6393376179999999
1994-05-01,0.51069626,1.11998939,1.548860768
1994-06-01,0.54051379,1.118196469,1.493098458
1994-07-01,0.55811892,1.113856955,1.517188282
1994-08-01,0.67285206,1.117847451,1.55053444
1994-09-01,0.68589738,1.11647665,1.593615682
1994-10-01,0.68969198,1.089137797,1.6294148259999999
1994-11-01,0.74130358,1.081335621,1.669572784
1994-12-01,0.81330763,1.118899404,1.720610526
1995-01-01,0.80311257,1.148598534,1.746662628
1995-02-01,0.47525824,1.149075241,1.7045348
1995-03-01,0.5525723,1.153262845,1.6771108639999999
1995-04-01,0.52710782,1.151922248,1.6342717119999999
1995-05-01,0.56124982,1.1522353379999999,1.58386015
1995-06-01,0.58897764,1.143847896,1.541033164
1995-07-01,0.62313362,1.13757152,1.5706082399999999
1995-08-01,0.74083723,1.142686045,1.608261226
1995-09-01,0.72537176,1.141092863,1.647914014
1995-10-01,0.81580302,1.141342402,1.698824654
1995-11-01,0.81400947,1.142432092,1.74383102
1995-12-01,0.92665305,1.187571573,1.804534906
1996-01-01,0.93727594,1.226041937,1.8438226480000002
