date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2013-03-01,181.0,280.0,204.0,684.0,9600.0,1516.0,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664
2013-03-02,633.0,837.0,674.0,1495.0,20198.0,844.0,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667
2013-03-03,1956.0,2858.0,1661.0,2315.0,47195.0,396.0,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332
2013-03-04,438.0,1007.0,485.0,1232.0,15000.0,1308.0,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663
2013-03-05,3388.0,3929.0,2001.0,3234.0,59594.0,1891.0,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667
2013-03-06,4934.0,5514.0,3052.0,3722.0,81291.0,682.0,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334
2013-03-07,5952.0,6723.0,2369.0,3873.0,94792.0,1120.0,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333
2013-03-08,5039.0,5988.0,1535.5424,3354.0816,78194.0,2544.0,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375
2013-03-09,1242.0,6310.0,881.0,1196.0,24596.0,2326.0,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667
2013-03-10,818.0,1425.0,553.0,1241.0,17600.0,2167.0,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667
2013-03-11,2864.0,3911.0,2564.0,2204.0,40794.0,2044.0,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667
2013-03-12,2825.0,2745.0,868.0,2082.0,44597.0,948.0,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333
2013-03-13,352.0,468.0,363.0,1036.0,13200.0,1787.0,4.929166666666666,1022.475,-10.049999999999999,0.0,2.3291666666666666
2013-03-14,2246.0,2502.0,1572.0,1752.0,35700.0,1826.0,3.8166666666666664,1021.4,-3.5875,0.0,1.9541666666666666
2013-03-15,4515.0,5453.0,2215.0,2672.0,54495.0,1514.0,6.3999999999999995,1014.5,-1.0666666666666667,0.0,1.4208333333333334
2013-03-16,5416.0,5480.0,1873.0,2238.0,57190.0,2269.0,9.529166666666667,1016.8541666666666,0.8833333333333333,0.0,1.6958333333333335
2013-03-17,6197.0,6795.0,1868.0,2674.0,63191.0,2568.0,10.008333333333333,1001.9375,3.1458333333333335,0.0,1.1458333333333333
2013-03-18,1682.0,2579.0,387.0,1056.0,23398.0,2186.0,8.383333333333333,1001.2208333333333,-9.404166666666667,0.004166666666666667,3.6374999999999997
2013-03-19,867.0,1069.0,243.0,1013.0,16500.0,760.0,2.066666666666667,1008.8916666666668,-1.3291666666666666,0.375,1.9166666666666667
2013-03-20,1248.0,1066.0,318.0,880.0,20500.0,1089.0,1.5208333333333333,1017.1208333333334,-2.8208333333333333,0.3125,2.058333333333333
2013-03-21,3425.0,3620.0,680.0,1873.0,37295.0,721.0,3.5875,1004.9250000000001,-1.425,0.0,1.6500000000000001
2013-03-22,1878.0,2691.0,544.0,1274.0,21098.0,1325.0,6.304166666666667,1011.5583333333334,-4.5375000000000005,0.0,2.5500000000000003
2013-03-23,1151.0,1672.0,662.0,1215.0,27896.0,917.0,4.770833333333333,1008.5041666666666,-6.291666666666667,0.0,2.4125
2013-03-24,379.0,615.0,256.0,806.0,8900.0,1465.7788,5.1125,1016.2583333333333,-12.9,0.0,2.6916666666666664
2013-03-25,2297.0,2741.0,1087.0,1704.0,21800.0,1163.2894000000001,5.15,1015.3000000000001,-5.375,0.0,1.9166666666666667
2013-03-26,4290.0,5117.0,1727.0,1825.0,36596.0,1028.4116,6.8,1007.5666666666666,-0.7958333333333334,0.0,1.6624999999999999
2013-03-27,2049.0,2936.0,417.0,890.0,18798.0,1379.106,10.879166666666668,1005.1583333333333,-4.570833333333334,0.0,2.845833333333333
2013-03-28,597.0,1249.0,207.0,845.0,12300.0,1620.0,7.879166666666666,1015.5666666666666,-10.241666666666667,0.0,2.225
2013-03-29,1659.0,2759.0,844.0,1600.0,32697.0,941.0,6.208333333333333,1016.2791666666667,-5.3,0.0,1.570833333333333
2013-03-30,1779.0,2547.0,1272.0,1278.0,36595.0,1343.9712,6.45,1016.8208333333333,-2.529166666666667,0.0,1.7375
2013-03-31,4126.0,4687.0,614.0,1593.0,34595.0,516.0,5.570833333333333,1013.1166666666667,2.475,0.0,1.4958333333333333
